stationid,observationdate,rainfall,rain_unit,temperature,temperature_unit,temp_category,is_hot,is_cold
S103,2023-10-22,34.205188832672086,,42.047014307893896,C,Hot,True,False
S271,2023-06-11,1.2137479116109462, INCH,25.441760372486293,c,Hot,True,False
S072,2023-04-23,17.290653527522988, INCH,43.63504398194182, celsius ,Hot,True,False
S215,2023-04-07,22.40941269396307, INCH,32.817681288591274,C,Hot,True,False
S331,2023-11-08,44.24175258135824,MM,36.26446234024557,c,Hot,True,False
S088,2023-10-03,27.45077772531401, INCH,41.615248856964975, celsius ,Hot,True,False
S100,2023-07-30,24.3166273852952, INCH,15.64477180718018,c,Warm,False,False
S152,2023-02-19,23.90693466119717,MM,41.02336988686066, celsius ,Hot,True,False
S150,2023-06-30,3.4425662849701557, INCH,22.488793291272135,Celsius,Warm,False,False
S309,2023-05-04,11.671328638051676,inch,19.689517236367355, celsius ,Warm,False,False
S344,2023-07-10,37.89164149767457,,33.63583395516939,C,Hot,True,False
S386,2023-07-09,44.364570453928266,mm,35.98291132774733, celsius ,Hot,True,False
S192,2023-04-27,25.017780195064503,mm,23.85295423377173,C,Warm,False,False
S022,2023-03-19,20.69176321381904,,20.866554402206,Celsius,Warm,False,False
S253,2023-08-27,26.97011350028589,inch,17.852073190615044,C,Warm,False,False
S345,2023-11-27,34.57772103023116, INCH,18.31142704042509,Celsius,Warm,False,False
S049,2023-08-27,25.017780195064503,,16.308525461829806,Celsius,Warm,False,False
S059,2023-06-03,0.6090272699586396,mm,22.97255423210577,C,Warm,False,False
S188,2023-05-12,35.60964603218992, INCH,28.92671885753948,Celsius,Hot,True,False
S190,2023-03-31,26.147744955998892,inch,32.52812445097108, celsius ,Hot,True,False
S051,2023-08-19,17.18547454104241,MM,21.815790435662272,C,Warm,False,False
S320,2023-09-07,21.61563158504237, INCH,13.627380907787805,C,Cool,False,False
S131,2023-03-29,23.789851854634357,,37.300376684986105,C,Hot,True,False
S307,2023-01-30,39.14437474204248, INCH,40.9174714266668,Celsius,Hot,True,False
S135,2023-09-19,43.39892774332243, INCH,31.64717766213002,Celsius,Hot,True,False
S021,2023-10-01,25.26150234584896, INCH,33.95682854102517,C,Hot,True,False
S329,2023-10-23,1.0861839970057183, INCH,29.231915592440718,C,Hot,True,False
S388,2023-01-30,25.017780195064503,MM,21.38136437585994,Celsius,Warm,False,False
S089,2023-09-02,16.96195796302297,mm,12.58924616637688,C,Cool,False,False
S316,2023-10-14,19.596044443721823,inch,33.920366125320825,Celsius,Hot,True,False
S242,2023-09-03,22.7622700471703,MM,27.624184263889177,Celsius,Hot,True,False
S346,2023-02-24,36.61953188053905,,24.60453820813953,Celsius,Warm,False,False
S264,2023-06-25,46.59084614545288,inch,12.492987853692693,Celsius,Cool,False,False
S035,2023-05-26,6.485407891614808,mm,26.72622817369585,Celsius,Hot,True,False
S206,2023-09-10,22.196718481539484,inch,41.48087157860823, celsius ,Hot,True,False
S081,2023-07-15,4.058450485293119,mm,20.4964566182478,Celsius,Warm,False,False
S050,2023-04-08,12.737092696963389,MM,34.55403076604628,Celsius,Hot,True,False
S360,2023-09-08,3.8419834801333703,,28.241929889714616,Celsius,Hot,True,False
S002,2023-08-10,15.744467937531088, INCH,15.971102006516016, celsius ,Warm,False,False
S054,2023-04-18,25.017780195064503, INCH,11.952878491573266,Celsius,Cool,False,False
S310,2023-05-15,18.897336009446143,,15.584013196367971, celsius ,Warm,False,False
S191,2023-05-31,28.429234931788127,MM,27.53883852472353,Celsius,Hot,True,False
S044,2023-12-09,38.39788214571185, INCH,18.37909557239853, celsius ,Warm,False,False
S162,2023-06-18,26.79719494645833,mm,24.400680826834645, celsius ,Warm,False,False
S202,2023-12-15,44.09243262100737,,40.17134995776996,C,Hot,True,False
S271,2023-02-04,30.150216492402155,mm,15.07653120816207,Celsius,Warm,False,False
S215,2023-03-10,30.605896460679897,mm,32.402984833755745,Celsius,Hot,True,False
S296,2023-12-27,18.44530807438833,inch,23.01041520332732, celsius ,Warm,False,False
S213,2023-01-28,38.41516482847514,,17.633072377936692,C,Warm,False,False
S208,2023-04-24,25.017780195064503,mm,13.213941651938914, celsius ,Cool,False,False
S237,2023-05-20,34.5315913362486, INCH,12.417628274430168,c,Cool,False,False
S338,2023-01-27,25.017780195064503,mm,10.692345581714426,Celsius,Cool,False,False
S217,2023-11-07,42.73764998300985,inch,29.732340536121768, celsius ,Hot,True,False
S380,2023-07-31,24.27192176537032,,16.607224096288142,C,Warm,False,False
S015,2023-02-26,23.126209313895675,MM,15.674117170082225,c,Warm,False,False
S301,2023-09-23,41.77154515640243,inch,21.5497780034204,C,Warm,False,False
S065,2023-03-05,46.599708577787005,inch,21.49114777643197, celsius ,Warm,False,False
S009,2023-06-18,46.16390066649661,,40.16685074384601, celsius ,Hot,True,False
S129,2023-04-26,16.134426435223105,,31.699791817398104,c,Hot,True,False
S063,2023-01-24,36.558387420276446,MM,31.71805726832965,Celsius,Hot,True,False
S081,2023-09-03,46.679576832009, INCH,33.531641085908745,c,Hot,True,False
S163,2023-04-12,35.57305606429975, INCH,37.72039782691874,c,Hot,True,False
S041,2023-01-03,25.017780195064503,MM,28.350449775736507,Celsius,Hot,True,False
S135,2023-09-18,18.450256181254183,mm,34.226131995546325,C,Hot,True,False
S268,2023-08-01,21.40492966712752,,21.572694499002885, celsius ,Warm,False,False
S048,2023-08-18,37.10762362447075,,16.792562349395368,c,Warm,False,False
S062,2023-07-24,44.66047147588896,inch,23.983632099267425,Celsius,Warm,False,False
S216,2023-10-16,29.115331456248335,inch,37.591308963375, celsius ,Hot,True,False
S293,2023-02-19,25.017780195064503, INCH,41.73537899117024, celsius ,Hot,True,False
S099,2023-04-26,22.57333829812157,mm,31.524949256607773,C,Hot,True,False
S214,2023-03-16,10.220189262358636,MM,44.10766553749348,c,Hot,True,False
S227,2023-08-21,1.4907203209407638, INCH,14.99069492071705, celsius ,Cool,False,False
S101,2023-10-30,25.017780195064503,mm,39.03164954838377, celsius ,Hot,True,False
S131,2023-02-21,22.411991271740227,inch,22.4249996693219,Celsius,Warm,False,False
S257,2023-09-03,44.68577302928126, INCH,27.091199351433485,c,Hot,True,False
S218,2023-04-21,25.017780195064503, INCH,21.08297894993109,C,Warm,False,False
S255,2023-06-23,33.59298404648008,,28.349478129570105, celsius ,Hot,True,False
S398,2023-03-23,20.89580497102888,MM,41.643479961949765,c,Hot,True,False
S393,2023-04-25,24.12577262764769,MM,11.288449638280536,c,Cool,False,False
S207,2023-03-10,38.96688150233709,mm,13.932791912974023,Celsius,Cool,False,False
S015,2023-03-21,49.25512878640848, INCH,36.13955273349352, celsius ,Hot,True,False
S179,2023-11-21,27.03867377005356,inch,29.175503035628644,C,Hot,True,False
S352,2023-07-25,6.329919799627149,mm,27.65431031360708,c,Hot,True,False
S231,2023-11-07,25.819104868804565,mm,23.622338783930083,C,Warm,False,False
S241,2023-07-31,1.2927255687873729,,40.9325199890155,c,Hot,True,False
S388,2023-03-24,39.02045152856894, INCH,40.55565927699024, celsius ,Hot,True,False
S222,2023-01-31,42.71320200089614, INCH,21.76131311586931,c,Warm,False,False
S237,2023-04-16,9.228268339723057,MM,10.90743074692183,Celsius,Cool,False,False
S143,2023-11-23,20.075100736028173,inch,17.388929670786325,c,Warm,False,False
S036,2023-03-07,46.83450348079277,inch,36.89331778624327, celsius ,Hot,True,False
S160,2023-03-13,32.85110861317359,MM,22.102934618909465,c,Warm,False,False
S327,2023-09-11,37.48291693604564, INCH,19.268428307498997,Celsius,Warm,False,False
S187,2023-09-03,27.19420454896794,,10.047779161299973, celsius ,Cool,False,False
S284,2023-11-07,19.59596582656532,,29.80436573550434, celsius ,Hot,True,False
S066,2023-08-29,25.017780195064503,,41.62664573987291,C,Hot,True,False
S170,2023-01-08,15.849793349196844,inch,17.02993953955123,C,Warm,False,False
S045,2023-09-24,3.4501201736935885, INCH,18.99885428968012, celsius ,Warm,False,False
S062,2023-10-08,1.353626305446631, INCH,10.981453720001577,C,Cool,False,False
S284,2023-12-23,8.115779146194024,,25.684468670034924, celsius ,Hot,True,False
S108,2023-04-11,23.167988151751818,inch,27.48189095149377,Celsius,Hot,True,False
S044,2023-03-04,25.017780195064503, INCH,44.53348660518844,C,Hot,True,False
S286,2023-08-13,0.9703337172714988,,38.88771730628379, celsius ,Hot,True,False
S348,2023-05-13,31.09841331456169,,28.452110811419438,C,Hot,True,False
S231,2023-01-13,25.58254731430644, INCH,19.04450181059833, celsius ,Warm,False,False
S225,2023-02-18,41.92700705785816,,38.78824919090166, celsius ,Hot,True,False
S385,2023-07-31,26.856591570952325,mm,26.70447911058108,C,Hot,True,False
S377,2023-11-16,45.34059017066024, INCH,13.946409782512813,C,Cool,False,False
S121,2023-03-08,12.218195155423578,MM,30.796236229880503, celsius ,Hot,True,False
S233,2023-06-06,49.29638326629761, INCH,43.31093473916676, celsius ,Hot,True,False
S259,2023-12-05,3.248246734108312, INCH,29.38877052081162,c,Hot,True,False
S359,2023-07-29,0.118270510466284, INCH,24.21269052653974,Celsius,Warm,False,False
