stationid,observationdate,rainfall,rain_unit,temperature,temperature_unit
S103,2023-10-22,34.205188832672086,,42.047014307893896,C
S271,2023-06-11,1.2137479116109462, INCH,25.441760372486293,c
S072,2023-04-23,17.290653527522988, INCH,43.63504398194182, celsius 
S215,2023-04-07,22.40941269396307, INCH,32.817681288591274,C
S331,2023-11-08,44.24175258135824,MM,36.26446234024557,c
S088,2023-10-03,27.45077772531401, INCH,41.615248856964975, celsius 
S100,2023-07-30,24.3166273852952, INCH,15.64477180718018,c
S152,2023-02-19,23.90693466119717,MM,41.023369886860664, celsius 
S150,2023-06-30,3.4425662849701557, INCH,22.488793291272138,Celsius
S309,2023-05-04,11.671328638051676,inch,19.689517236367355, celsius 
S344,2023-07-10,37.89164149767457,,33.63583395516939,C
S386,2023-07-09,44.364570453928266,mm,35.98291132774733, celsius 
S192,2023-04-27,25.017780195064503,mm,23.852954233771726,C
S022,2023-03-19,20.69176321381904,,20.866554402206,Celsius
S253,2023-08-27,26.97011350028589,inch,17.852073190615044,C
S345,2023-11-27,34.57772103023116, INCH,18.31142704042509,Celsius
S049,2023-08-27,25.017780195064503,,16.308525461829806,Celsius
S059,2023-06-03,0.6090272699586396,mm,22.97255423210577,C
S188,2023-05-12,35.60964603218992, INCH,28.926718857539477,Celsius
S190,2023-03-31,26.147744955998892,inch,32.52812445097108, celsius 
S051,2023-08-19,17.18547454104241,MM,21.815790435662272,C
S364,2023-01-04,39.37826083152697,mm,unknown,Celsius
S320,2023-09-07,21.61563158504237, INCH,13.627380907787805,C
S131,2023-03-29,23.789851854634357,,37.300376684986105,C
S307,2023-01-30,39.14437474204248, INCH,40.9174714266668,Celsius
S135,2023-09-19,43.39892774332243, INCH,31.64717766213002,Celsius
S021,2023-10-01,25.26150234584896, INCH,33.95682854102517,C
S329,2023-10-23,1.0861839970057183, INCH,29.231915592440714,C
S388,2023-01-30,25.017780195064503,MM,21.38136437585994,Celsius
S089,2023-09-02,16.96195796302297,mm,12.58924616637688,C
S316,2023-10-14,19.596044443721823,inch,33.920366125320825,Celsius
S242,2023-09-03,22.7622700471703,MM,27.624184263889177,Celsius
S346,2023-02-24,36.61953188053905,,24.60453820813953,Celsius
S340,2023-04-07,20.1328768840453, INCH,unknown, celsius 
S264,2023-06-25,46.59084614545288,inch,12.492987853692693,Celsius
S035,2023-05-26,6.485407891614808,mm,26.72622817369585,Celsius
S206,2023-09-10,22.196718481539484,inch,41.48087157860823, celsius 
S081,2023-07-15,4.058450485293119,mm,20.496456618247798,Celsius
S050,2023-04-08,12.737092696963389,MM,34.55403076604628,Celsius
S360,2023-09-08,3.8419834801333703,,28.241929889714616,Celsius
S002,2023-08-10,15.744467937531088, INCH,15.971102006516015, celsius 
S054,2023-04-18,25.017780195064503, INCH,11.952878491573266,Celsius
S310,2023-05-15,18.897336009446143,,15.584013196367971, celsius 
