region,activityDate,cropType,irrigationHours,fertilizer_amount
EAST,2023-09-25,Rice,7.186552891058065,6.037441924661757
unknown,08-08-2023, wheat ,3.4141579419309496,67.86378853134276
EAST,04-01-2023, wheat ,4.430551841761836,27.424514902367537
West ,2023-10-23,Cotton,,22.319967894215097
 south,10/27/2023,Maize,1.252510285890538,61.91789562419133
unknown,15-09-2023,Wheat,4.658221783915466,50.026064508466646
EAST,04/09/2023, wheat ,,31.56304162750598
West ,15-04-2023, wheat ,11.983302319750635,29.411680303408495
 south,09-07-2023,Maize,1.080834835891824,71.64812723742563
West ,12-04-2023,Cotton,3.748731631016864,NA
EAST,18-03-2023,Cotton,0.3003504357640647,29.638743803545843
West ,03/18/2023,Maize,2.285871758866654,95.9822902269035
West ,22-07-2023,Cotton,,58.6533408441819
EAST,21-12-2023,Cotton,0.3956342553047252,22.010166258042887
unknown,2023-12-03,Rice,10.24317887898668,73.87565763376888
EAST,01-03-2023,Cotton,,53.71163656773784
EAST,2023-05-10, wheat ,11.351253482238526,71.21146545050601
EAST,02-02-2023,Maize,11.318308590708801,0.24573954432784983
 south,07/01/2023,Rice,4.014046695202973,NA
West ,2023-09-22, wheat ,8.215714529720408,96.5500096807551
unknown,2023-10-19,Maize,7.28877393178705,49.39460389642788
West ,09/14/2023,Wheat,2.4893066512987208,76.07743171245322
unknown,10-10-2023,Maize,0.9200448395817182,19.039471732845993
West ,25-10-2023,Maize,0.5648535954115239,27.213577115729436
unknown,2023-04-19,Rice,,63.312486812951164
West ,17-02-2023, wheat ,8.388342390204048,30.7702836798067
West ,02/17/2023, wheat ,0.36442625013940066,3.934328798849762
West ,31-03-2023,Cotton,5.6196547661530225,28.141701057024026
EAST,26-12-2023,Cotton,1.0892970923932759,64.43509189146457
EAST,30-06-2023,Cotton,,17.14895252031322
unknown,2023-05-31,Cotton,9.099185453206797,75.84593952102759
North,02/18/2023,Maize,8.533334269911133,NA
West ,17-01-2023,Rice,8.901017991763123,94.44455553248594
West ,09/20/2023,Cotton,5.113239787734389,45.936961677864886
West ,2023-08-31, wheat ,2.7130910766267706,93.17806900980274
West ,10-08-2023, wheat ,10.379410792564219,60.78578642045333
 south,25-12-2023,Wheat,0.5728960068993167,50.11766645058994
unknown,2023-04-20,Rice,7.582235746282274,67.85748794405819
EAST,10/11/2023,Rice,8.730311766842249,61.95999498006284
unknown,24-01-2023,Rice,3.098492297766094,83.040968807287
EAST,02/10/2023, wheat ,1.9433469198302276,NA
EAST,2023-07-23,Cotton,2.8655332550602477,NA
EAST,04/19/2023,Wheat,5.465994778085265,NA
unknown,10/03/2023,Rice,6.668534750703385,23.963251195864622
 south,07/08/2023, wheat ,6.854273257622513,40.54834095483819
North,2023-04-27,Rice,9.461965781095913,58.92639906885451
North,2023-12-16, wheat ,,83.85681237994189
 south,02-04-2023,Maize,8.467549016522938,92.05264905564373
EAST,05/21/2023,Rice,3.2211109510596687,87.31384902412934
unknown,14-09-2023,Maize,11.14214395839894,33.57508393800895
West ,2023-08-31, wheat ,,31.580514849524167
 south,27-08-2023,Maize,6.760529468486849,13.154339485103206
unknown,11/18/2023,Cotton,8.270623407153748,2.8566270316304765
 south,07/24/2023,Maize,5.284809094975435,42.81384956092135
North,2023-10-08,Rice,7.63205466276513,39.812077603023056
unknown,2023-05-28, wheat ,4.762951575326635,95.97959630226894
West ,10/27/2023,Cotton,6.041934017775052,80.03079756376364
West ,02-05-2023,Maize,11.131629172938858,23.49852934751212
unknown,04/27/2023,Rice,9.834766644598293,16.49184102998217
 south,2023-07-08, wheat ,0.6887459903631932,34.123781698057755
North,22-02-2023,Maize,,88.35837958044614
West ,2023-02-16,Wheat,7.507373307006668,28.47223384450238
EAST,2023-07-30,Rice,8.364114073740637,31.54790721357388
unknown,11/17/2023,Rice,,NA
unknown,2023-02-01,Rice,8.674837517385297,34.26065337901281
unknown,03/06/2023, wheat ,1.6532483511614364,NA
West ,2023-05-06,Rice,11.832044976437855,46.64666991869812
North,2023-12-25,Wheat,2.4887866400517393,45.368598184903654
 south,02/07/2023,Cotton,5.033689718776833,95.69320052913393
EAST,05/04/2023,Rice,2.229428053218312,29.680458301460778
