StationID,observationDate,rainfall,rain_unit,temperature,temperature_unit
S103,2023-10-22,34.205188832672086,NA,42.047014307893896,C
S349,25/09/2023,46.30345470237838,NA,11.38795285203436, celsius 
S271,2023-06-11,1.2137479116109462, INCH,25.441760372486293,c
S107,19/02/2023,48.97549700283012,MM,17.432111697545118,Celsius
S072,2023-04-23,17.290653527522988, INCH,43.63504398194182, celsius 
S189,15/05/2023,37.412533242855986,inch,27.69236135212412, celsius 
S021,26/07/2023,13.959559162875163,MM,19.70372484026386,c
S103,23/01/2023,20.73393683385756,NA,13.512325447206592,C
S122,25/11/2023,43.798872895523765,NA,23.59900640376417,Celsius
S215,2023-04-07,22.40941269396307, INCH,32.817681288591274,C
S331,2023-11-08,44.24175258135824,MM,36.26446234024557,c
S088,2023-10-03,27.450777725314012, INCH,41.615248856964975, celsius 
S373,02/01/2023,13.204928321067067,MM,43.6276789779117,Celsius
S100,2023-07-30,24.316627385295202, INCH,15.64477180718018,c
S360,10/02/2023,4.437176060181974, INCH,17.12789617014816, celsius 
S152,2023-02-19,23.90693466119717,MM,41.023369886860664, celsius 
S131,07/09/2023,39.383396956411794,NA,31.425471345090784, celsius 
S150,2023-06-30,3.4425662849701553, INCH,22.488793291272138,Celsius
S309,2023-05-04,11.671328638051676,inch,19.689517236367355, celsius 
S258,01/01/2023,21.12226369734302,mm,16.836931750736635, celsius 
S344,2023-07-10,37.89164149767457,NA,33.63583395516939,C
S294,20/08/2023,37.55450900280245,NA,18.32913560734611,c
S386,2023-07-09,44.364570453928266,mm,35.98291132774733, celsius 
S192,2023-04-27,,mm,23.852954233771726,C
S277,17/10/2023,7.786470450781424,NA,43.656639665036096,Celsius
S161,03/01/2023,,MM,26.298886628044475,C
S314,14/03/2023,,mm,42.96070248226947,C
S022,2023-03-19,20.691763213819037,NA,20.866554402206,Celsius
S253,2023-08-27,26.97011350028589,inch,17.852073190615044,C
S236,17/02/2023,,mm,40.092479262472736,C
S345,2023-11-27,34.57772103023116, INCH,18.31142704042509,Celsius
S049,2023-08-27,,NA,16.308525461829806,Celsius
S059,2023-06-03,0.6090272699586396,mm,22.97255423210577,C
S170,08/03/2023,14.463235251970962,inch,unknown,c
S188,2023-05-12,35.60964603218992, INCH,28.926718857539477,Celsius
S271,13/07/2023,13.779733223006808,inch,23.056304299550533, celsius 
S190,2023-03-31,26.147744955998895,inch,32.52812445097108, celsius 
S175,27/12/2023,37.823171056290875,mm,40.93294971983059, celsius 
S051,2023-08-19,17.18547454104241,MM,21.815790435662272,C
S364,2023-01-04,39.37826083152697,mm,unknown,Celsius
S055,12/10/2023,40.80682906187331, INCH,15.53625723249495,c
S244,29/11/2023,49.554669679186524,MM,10.33514749188381, celsius 
S320,2023-09-07,21.615631585042372, INCH,13.627380907787805,C
S131,2023-03-29,23.789851854634353,NA,37.300376684986105,C
S307,2023-01-30,39.14437474204248, INCH,40.9174714266668,Celsius
S135,2023-09-19,43.39892774332243, INCH,31.64717766213002,Celsius
S021,2023-10-01,25.261502345848957, INCH,33.95682854102517,C
S329,2023-10-23,1.0861839970057185, INCH,29.231915592440714,C
S167,23/07/2023,22.901733467796543,mm,41.601662576442145,Celsius
S274,07/04/2023,11.262190506846743, INCH,26.257880344658986, celsius 
S388,2023-01-30,,MM,21.38136437585994,Celsius
S089,2023-09-02,16.96195796302297,mm,12.58924616637688,C
S316,2023-10-14,19.596044443721823,inch,33.920366125320825,Celsius
S014,27/08/2023,49.08250277941162,mm,unknown, celsius 
S242,2023-09-03,22.7622700471703,MM,27.624184263889177,Celsius
S265,26/06/2023,48.378647455833956,mm,43.25373038974502,c
S346,2023-02-24,36.61953188053905,NA,24.60453820813953,Celsius
S053,09/01/2023,12.654302749069663,NA,23.873781649983393, celsius 
S386,15/11/2023,35.09824637456381,inch,12.3295812842819,C
S340,2023-04-07,20.1328768840453, INCH,unknown, celsius 
S092,25/10/2023,28.963822589901145,mm,20.972191327086172,Celsius
S367,02/11/2023,25.963292944402127,MM,24.31663885629193,Celsius
S264,2023-06-25,46.59084614545288,inch,12.492987853692693,Celsius
S035,2023-05-26,6.485407891614808,mm,26.72622817369585,Celsius
S206,2023-09-10,22.196718481539484,inch,41.48087157860823, celsius 
S081,2023-07-15,4.058450485293119,mm,20.496456618247798,Celsius
S050,2023-04-08,12.737092696963387,MM,34.55403076604628,Celsius
S360,2023-09-08,3.8419834801333708,NA,28.241929889714616,Celsius
S388,05/12/2023,46.93489248952892,mm,10.276913498887254,c
S002,2023-08-10,15.744467937531088, INCH,15.971102006516015, celsius 
S390,12/04/2023,39.06462534021913,NA,12.071068125031474, celsius 
S054,2023-04-18,, INCH,11.952878491573266,Celsius
S106,09/11/2023,7.019609251278891,MM,12.94343829733343,c
S260,05/06/2023,7.0526001643792915,inch,14.10142246305286,C
S310,2023-05-15,18.897336009446146,NA,15.584013196367971, celsius 
S191,2023-05-31,28.429234931788127,MM,27.538838524723534,Celsius
S218,30/10/2023,21.33624968472654,NA,34.49313579558155,c
S044,2023-12-09,38.39788214571185, INCH,18.37909557239853, celsius 
S162,2023-06-18,26.797194946458326,mm,24.400680826834645, celsius 
S202,2023-12-15,44.09243262100737,NA,40.17134995776996,C
S270,28/10/2023,29.619941279046667,inch,28.48645653919524,C
S351,30/05/2023,29.61847602432507, INCH,43.190192312300645,Celsius
S304,22/02/2023,32.98404070639288,inch,10.137104626886428,C
S271,2023-02-04,30.150216492402155,mm,15.07653120816207,Celsius
S215,2023-03-10,30.605896460679897,mm,32.402984833755745,Celsius
S252,12/12/2023,22.485499089910142,mm,23.626260139719264, celsius 
S190,30/05/2023,4.527309858544292,inch,15.261144492621115,C
S296,2023-12-27,18.44530807438833,inch,23.01041520332732, celsius 
S213,2023-01-28,38.41516482847514,NA,17.633072377936692,C
S208,2023-04-24,,mm,13.213941651938914, celsius 
S237,2023-05-20,34.531591336248596, INCH,12.417628274430168,c
S338,2023-01-27,,mm,10.692345581714426,Celsius
S367,30/04/2023,21.798139337573293,MM,39.49267991646346,Celsius
S053,11/12/2023,10.62068019066783,inch,36.80688245753481,Celsius
S280,17/10/2023,1.1503293198076026,mm,42.404761233409424,Celsius
S217,2023-11-07,42.73764998300985,inch,29.732340536121768, celsius 
S252,07/05/2023,7.369310419071439,NA,unknown, celsius 
S188,01/09/2023,2.1573647060839694, INCH,18.984302718783454,c
S380,2023-07-31,24.27192176537032,NA,16.607224096288142,C
S041,28/12/2023,19.086624129665108,MM,12.059624490056752,Celsius
S157,22/11/2023,47.99038823210699,inch,17.07658042232856,C
S015,2023-02-26,23.126209313895675,MM,15.674117170082223,c
S301,2023-09-23,41.77154515640243,inch,21.5497780034204,C
S065,2023-03-05,46.599708577787005,inch,21.491147776431966, celsius 
S345,15/12/2023,9.212143262451299,MM,26.158033982323893,c
S327,17/01/2023,17.316442091890888,MM,24.967370114716726,c
S009,2023-06-18,46.16390066649661,NA,40.16685074384601, celsius 
S344,19/07/2023,27.79314436360427,mm,35.053444858911334,c
S129,2023-04-26,16.134426435223105,NA,31.699791817398104,c
S136,15/05/2023,26.025566780015485,inch,41.51012889459268,C
S063,2023-01-24,36.558387420276446,MM,31.71805726832965,Celsius
S139,04/10/2023,30.91717523331704,NA,27.469966263345107,c
S081,2023-09-03,46.679576832009, INCH,33.531641085908745,c
S392,07/02/2023,48.14897535980295,NA,37.11445518067953, celsius 
S163,2023-04-12,35.57305606429975, INCH,37.72039782691874,c
S289,20/11/2023,33.18568410449986,mm,44.35196301707003,Celsius
S379,25/04/2023,,NA,21.362850797846754,C
S261,31/07/2023,39.18483840921417, INCH,34.39267487209224,C
S231,08/11/2023,24.97205789937914, INCH,20.046170288906783,C
S041,2023-01-03,,MM,28.350449775736507,Celsius
S028,27/09/2023,46.65547226585237, INCH,26.546726032973076,Celsius
S135,2023-09-18,18.450256181254183,mm,34.226131995546325,C
S201,18/08/2023,45.27329926600635,mm,20.888775545478605, celsius 
S328,24/05/2023,32.97840235638701, INCH,12.946717930981736,C
S268,2023-08-01,21.40492966712752,NA,21.572694499002885, celsius 
S033,20/06/2023,2.538683707205025,NA,34.085294431214706, celsius 
S048,2023-08-18,37.10762362447075,NA,16.792562349395368,c
S062,2023-07-24,44.660471475888954,inch,23.983632099267425,Celsius
S216,2023-10-16,29.115331456248338,inch,37.591308963375, celsius 
S293,2023-02-19,, INCH,41.735378991170236, celsius 
S099,2023-04-26,22.57333829812157,mm,31.524949256607773,C
S172,02/06/2023,35.40340721643593,mm,42.975300658144434, celsius 
S360,03/11/2023,9.913409556005337, INCH,16.27893844085274,Celsius
